creep_irresolute | [s] None => 2058 | [h] None => 07f5a46a5c | 2023-11-16 13:28:37 (UTC+3)
creep_piercing | [s] None => 2462 | [h] None => c8c5d0c7e8 | 2023-11-16 13:28:37 (UTC+3)
creep_siege | [s] None => 2654 | [h] None => 1e09845922 | 2023-11-16 13:28:37 (UTC+3)
crystal_maiden_brilliance_aura | [s] None => 3373 | [h] None => d6b96f4b6c | 2023-11-16 13:28:37 (UTC+3)
crystal_maiden_crystal_clone | [s] None => 2957 | [h] None => 9a577ced09 | 2023-11-16 13:28:37 (UTC+3)
crystal_maiden_crystal_nova | [s] None => 3275 | [h] None => 8120895200 | 2023-11-16 13:28:37 (UTC+3)
crystal_maiden_freezing_field | [s] None => 5013 | [h] None => 588883dc90 | 2023-11-16 13:28:37 (UTC+3)
crystal_maiden_freezing_field_stop | [s] None => 1928 | [h] None => 207a1079ff | 2023-11-16 13:28:37 (UTC+3)
crystal_maiden_frostbite | [s] None => 3197 | [h] None => 7bd7824b82 | 2023-11-16 13:28:37 (UTC+3)
crystal_maiden_let_it_go | [s] None => 2564 | [h] None => 2d72e9323a | 2023-11-16 13:28:37 (UTC+3)
dark_seer_ion_shell | [s] None => 3675 | [h] None => 67397a81f9 | 2023-11-16 13:28:37 (UTC+3)
dark_seer_normal_punch | [s] None => 3178 | [h] None => a38ed5057e | 2023-11-16 13:28:37 (UTC+3)
dark_seer_surge | [s] None => 3408 | [h] None => 0cad1584c4 | 2023-11-16 13:28:37 (UTC+3)
dark_seer_vacuum | [s] None => 2841 | [h] None => 9ac52bd76c | 2023-11-16 13:28:37 (UTC+3)
dark_seer_wall_of_replica | [s] None => 3969 | [h] None => 67a3aa0176 | 2023-11-16 13:28:37 (UTC+3)
dazzle_bad_juju | [s] None => 3525 | [h] None => f6b8b786d3 | 2023-11-16 13:28:37 (UTC+3)
dazzle_good_juju | [s] None => 2806 | [h] None => 36d5eb999d | 2023-11-16 13:28:37 (UTC+3)
dazzle_poison_touch | [s] None => 4329 | [h] None => 5056bf9d80 | 2023-11-16 13:28:37 (UTC+3)
dazzle_rain_of_vermin | [s] None => 2650 | [h] None => d4f58ac3d4 | 2023-11-16 13:28:37 (UTC+3)
dazzle_shadow_wave | [s] None => 3754 | [h] None => 134e137488 | 2023-11-16 13:28:37 (UTC+3)
dazzle_shallow_grave | [s] None => 2814 | [h] None => a074edc867 | 2023-11-16 13:28:37 (UTC+3)
dazzle_weave | [s] None => 2814 | [h] None => 47b1efad12 | 2023-11-16 13:28:37 (UTC+3)
death_prophet_carrion_swarm | [s] None => 3221 | [h] None => 74c8327072 | 2023-11-16 13:28:37 (UTC+3)
death_prophet_exorcism | [s] None => 5032 | [h] None => 147f6b4da0 | 2023-11-16 13:28:37 (UTC+3)
death_prophet_silence | [s] None => 2532 | [h] None => c1aff33421 | 2023-11-16 13:28:37 (UTC+3)
death_prophet_spirit_siphon | [s] None => 3430 | [h] None => 2c2eb79736 | 2023-11-16 13:28:37 (UTC+3)
death_prophet_witchcraft | [s] None => 3091 | [h] None => 4698640fc3 | 2023-11-16 13:28:37 (UTC+3)
default_attack | [s] None => 1877 | [h] None => a16620dff9 | 2023-11-16 13:28:37 (UTC+3)
doom_bringer_devour | [s] None => 3340 | [h] None => fd291b3c93 | 2023-11-16 13:28:37 (UTC+3)
doom_bringer_doom | [s] None => 3444 | [h] None => 6f8f22caa2 | 2023-11-16 13:28:37 (UTC+3)
doom_bringer_empty1 | [s] None => 1926 | [h] None => 1d55244fce | 2023-11-16 13:28:37 (UTC+3)
doom_bringer_empty2 | [s] None => 1926 | [h] None => dd96f2d397 | 2023-11-16 13:28:37 (UTC+3)
doom_bringer_infernal_blade | [s] None => 3502 | [h] None => 121f996be9 | 2023-11-16 13:28:37 (UTC+3)
doom_bringer_scorched_earth | [s] None => 3104 | [h] None => 4d0abdcd2e | 2023-11-16 13:28:37 (UTC+3)
dota_base_ability | [s] None => 1855 | [h] None => ff9f7530c0 | 2023-11-16 13:28:37 (UTC+3)
